Left_B,Front_B,Right_B,Cosine_Angle,Collision,Food_x,Food_y,Head_x,Head_y,Sugg_Direction
0,0,0,45.0,1,160,80,280,200,3
0,0,0,56.31,1,200,80,280,200,3
0,0,0,71.57,1,240,80,280,200,3
0,0,0,90.0,1,280,80,280,200,3
0,0,0,108.43,0,320,80,280,200,3
0,0,0,26.57,1,320,120,280,200,3
0,0,0,45.0,1,320,160,280,200,3
0,0,0,90.0,1,320,200,280,200,3
0,0,0,0.0,1,280,200,280,200,2
0,0,0,135.0,0,240,200,280,160,3
0,0,0,153.43,0,200,200,280,160,3
0,0,0,161.57,0,160,200,280,160,3
0,0,0,165.96,0,120,200,280,160,3
0,0,0,90.0,1,120,160,280,160,3
0,0,0,104.04,0,120,120,280,160,3
0,0,0,18.43,1,160,120,280,160,3
0,0,0,26.57,1,200,120,280,160,3
0,0,0,45.0,1,240,120,280,160,3
0,0,0,90.0,1,280,120,280,160,3
0,0,0,0.0,1,280,160,280,160,2
0,0,0,108.43,0,280,200,40,120,3
0,0,0,116.57,0,280,240,40,120,3
0,0,0,123.69,0,280,280,40,120,3
0,0,0,38.66,1,240,280,40,120,3
0,0,0,45.0,1,200,280,40,120,3
0,0,0,53.13,1,160,280,40,120,3
0,0,0,63.43,1,120,280,40,120,3
0,0,0,75.96,1,80,280,40,120,3
0,0,0,90.0,1,40,280,40,120,3
0,0,0,0.0,1,40,240,40,120,2
0,0,0,0.0,1,40,200,40,120,2
0,0,0,0.0,1,40,160,40,120,2
0,0,0,0.0,1,40,120,40,120,2
0,0,0,21.8,1,80,120,280,40,1
0,0,0,26.57,1,120,120,280,40,1
0,0,0,33.69,1,160,120,280,40,1
0,0,0,45.0,1,200,120,280,40,1
0,0,0,63.43,1,240,120,280,40,1
0,0,0,45.0,1,240,80,280,40,3
0,0,0,90.0,1,240,40,280,40,3
0,0,0,0.0,1,280,40,280,40,2
0,0,0,135.0,0,320,40,160,200,3
0,0,0,53.13,1,320,80,160,200,3
0,0,0,63.43,1,320,120,160,200,3
0,0,0,75.96,1,320,160,160,200,3
0,0,0,90.0,1,320,200,160,200,3
0,0,0,0.0,1,280,200,160,200,2
0,0,0,0.0,1,240,200,160,200,2
0,0,0,0.0,1,200,200,160,200,2
0,0,0,0.0,1,160,200,160,200,2
0,0,0,180.0,0,120,200,240,200,3
0,0,0,108.43,0,120,160,240,200,3
0,0,0,123.69,0,120,120,240,200,3
0,0,0,135.0,0,120,80,240,200,3
0,0,0,56.31,1,160,80,240,200,3
0,0,0,71.57,1,200,80,240,200,3
0,0,0,90.0,1,240,80,240,200,3
0,0,0,0.0,1,240,120,240,200,2
0,0,0,0.0,1,240,160,240,200,2
0,0,0,0.0,1,240,200,240,200,2
0,0,0,45.0,1,240,240,360,360,1
0,0,0,143.13,0,200,240,360,360,1
0,0,0,149.04,0,160,240,360,360,1
0,0,0,68.2,1,160,280,360,360,1
0,0,0,78.69,1,160,320,360,360,1
0,1,0,90.0,1,160,360,360,360,1
0,0,0,101.31,-1,160,400,360,360,1
0,0,0,54.46,1,160,80,360,360,3
0,0,0,60.26,1,200,80,360,360,3
0,0,0,66.8,1,240,80,360,360,3
0,0,0,74.05,1,280,80,360,360,3
0,0,0,81.87,1,320,80,360,360,3
0,1,0,90.0,1,360,80,360,360,3
1,0,0,0.0,1,360,120,360,360,2
1,0,0,0.0,1,360,160,360,360,2
1,0,0,0.0,1,360,200,360,360,2
1,0,0,0.0,1,360,240,360,360,2
1,0,0,0.0,1,360,280,360,360,2
1,0,0,0.0,1,360,320,360,360,2
1,1,0,0.0,1,360,360,360,360,3
1,0,0,63.43,1,320,360,240,200,3
1,0,0,75.96,1,280,360,240,200,3
1,0,0,90.0,1,240,360,240,200,3
0,0,0,0.0,1,240,320,240,200,2
0,0,0,0.0,1,240,280,240,200,2
0,0,0,0.0,1,240,240,240,200,2
0,0,0,0.0,1,240,200,240,200,2
0,0,0,0.0,1,240,160,240,120,2
0,0,0,0.0,1,240,120,240,120,2
0,0,0,101.31,0,200,120,240,320,1
0,0,0,111.8,0,160,120,240,320,1
0,0,0,120.96,0,120,120,240,320,1
0,0,0,128.66,0,80,120,240,320,1
0,0,0,45.0,1,80,160,240,320,1
0,0,0,53.13,1,80,200,240,320,1
0,0,0,63.43,1,80,240,240,320,1
0,0,0,33.69,1,120,240,240,320,3
0,0,0,45.0,1,160,240,240,320,3
0,0,0,63.43,1,160,280,240,320,1
0,0,0,90.0,1,160,320,240,320,1
0,0,0,0.0,1,200,320,240,320,2
0,0,0,0.0,1,240,320,240,320,2
0,0,0,99.46,0,280,320,240,80,1
0,0,0,108.43,0,320,320,240,80,1
0,0,0,21.8,1,320,280,240,80,1
0,0,0,26.57,1,320,240,240,80,1
0,0,0,33.69,1,320,200,240,80,1
0,0,0,45.0,1,320,160,240,80,1
0,0,0,63.43,1,320,120,240,80,1
0,0,0,90.0,1,320,80,240,80,1
0,0,0,0.0,1,280,80,240,80,2
0,0,0,0.0,1,240,80,240,80,2
0,0,0,71.57,1,200,80,160,200,1
0,0,0,90.0,1,160,80,160,200,1
0,0,0,108.43,0,120,80,160,200,1
0,0,0,26.57,1,120,120,160,200,1
0,0,0,45.0,1,120,160,160,200,1
0,0,0,90.0,1,120,200,160,200,1
0,0,0,0.0,1,160,200,160,200,2
0,0,0,135.0,0,200,200,120,120,1
0,0,0,146.31,0,240,200,120,120,1
0,0,0,153.43,0,280,200,120,120,1
0,0,0,158.2,0,320,200,120,120,1
0,0,0,78.69,1,320,160,120,120,1
0,0,0,90.0,1,320,120,120,120,1
0,0,0,0.0,1,280,120,120,120,2
0,0,0,0.0,1,240,120,120,120,2
0,0,0,0.0,1,200,120,120,120,2
0,0,0,0.0,1,160,120,120,120,2
0,0,0,0.0,1,120,120,120,120,2
0,0,0,153.43,0,80,120,240,40,3
0,0,0,126.87,0,80,160,240,40,1
0,0,0,135.0,0,80,200,240,40,1
0,0,0,141.34,0,80,240,240,40,1
0,0,0,59.04,1,120,240,240,40,1
0,0,0,68.2,1,160,240,240,40,1
0,0,0,78.69,1,200,240,240,40,1
0,0,0,14.04,1,200,200,240,40,3
0,0,0,18.43,1,200,160,240,40,3
0,0,0,26.57,1,200,120,240,40,3
0,0,0,45.0,1,200,80,240,40,3
0,0,0,90.0,1,240,80,240,40,1
0,0,0,135.0,0,280,80,240,40,1
0,0,0,153.43,0,320,80,240,40,1
0,0,0,90.0,1,320,40,240,40,1
1,0,0,0.0,1,280,40,240,40,2
1,0,0,0.0,1,240,40,240,40,2
1,0,0,74.05,1,200,40,120,320,2
0,0,0,81.87,1,160,40,120,320,1
0,0,0,90.0,1,120,40,120,320,1
0,0,0,0.0,1,120,80,120,320,2
0,0,0,0.0,1,120,120,120,320,2
0,0,0,0.0,1,120,160,120,320,2
0,0,0,0.0,1,120,200,120,320,2
0,0,0,0.0,1,120,240,120,320,2
0,0,0,0.0,1,120,280,120,320,2
0,0,0,0.0,1,120,320,120,320,2
0,0,0,105.95,0,160,320,80,40,1
0,0,0,113.2,0,200,320,80,40,1
0,0,0,119.74,0,240,320,80,40,1
0,0,0,33.69,1,240,280,80,40,1
0,0,0,38.66,1,240,240,80,40,1
0,0,0,45.0,1,240,200,80,40,1
0,0,0,53.13,1,240,160,80,40,1
0,0,0,63.43,1,240,120,80,40,1
0,0,0,75.96,1,240,80,80,40,1
0,0,0,90.0,1,240,40,80,40,1
0,0,0,0.0,1,200,40,80,40,2
0,0,0,0.0,1,160,40,80,40,2
0,0,0,0.0,1,120,40,80,40,2
0,0,0,0.0,1,80,40,80,40,2
0,0,0,45.0,1,80,80,240,240,1
0,0,0,53.13,1,80,120,240,240,1
0,0,0,63.43,1,80,160,240,240,1
0,0,0,75.96,1,80,200,240,240,1
0,0,0,18.43,1,120,200,240,240,3
0,0,0,26.57,1,160,200,240,240,3
0,0,0,90.0,1,160,240,240,240,1
0,0,0,116.57,0,160,280,240,240,1
0,0,0,45.0,1,200,280,240,240,1
0,0,0,90.0,1,240,280,240,240,1
0,0,0,0.0,1,240,240,240,240,2
0,0,0,26.57,1,240,200,160,40,1
0,0,0,33.69,1,240,160,160,40,1
0,0,0,45.0,1,240,120,160,40,1
0,0,0,63.43,1,240,80,160,40,1
0,0,0,90.0,1,240,40,160,40,1
0,0,0,0.0,1,200,40,160,40,2
0,0,0,0.0,1,160,40,160,40,2
0,0,0,153.43,0,120,40,280,120,1
0,0,0,158.2,0,80,40,280,120,1
0,0,0,78.69,1,80,80,280,120,1
0,0,0,90.0,1,80,120,280,120,1
0,0,0,101.31,0,80,160,280,120,1
0,0,0,111.8,0,80,200,280,120,1
0,0,0,26.57,1,120,200,280,120,1
0,0,0,33.69,1,160,200,280,120,1
0,0,0,45.0,1,200,200,280,120,1
0,0,0,63.43,1,240,200,280,120,1
0,0,0,45.0,1,240,160,280,120,3
0,0,0,90.0,1,240,120,280,120,3
0,0,0,135.0,0,240,80,280,120,3
0,0,0,153.43,0,240,40,280,120,3
0,0,0,90.0,1,280,40,280,120,3
0,0,1,0.0,1,280,80,280,120,2
0,0,1,0.0,1,280,120,280,120,2
0,0,1,101.31,0,280,160,80,120,0
0,0,1,111.8,0,280,200,80,120,0
0,0,0,120.96,0,280,240,80,120,3
0,0,1,36.87,1,240,240,80,120,0
0,0,1,45.0,1,200,240,80,120,0
0,0,1,56.31,1,160,240,80,120,0
0,0,0,71.57,1,120,240,80,120,3
0,0,0,26.57,1,120,200,80,120,1
0,0,0,45.0,1,120,160,80,120,1
0,0,0,90.0,1,120,120,80,120,1
0,0,0,0.0,1,80,120,80,120,2
0,0,0,108.43,0,40,120,80,240,1
0,1,0,123.69,0,0,120,80,240,1
0,0,1,45.0,1,0,160,80,240,1
0,0,1,63.43,1,0,200,80,240,1
0,0,0,45.0,1,40,200,80,240,3
0,1,0,90.0,1,80,200,80,240,3
1,0,0,0.0,1,80,240,80,240,2
0,0,0,45.0,1,80,280,40,320,3
0,0,0,90.0,1,80,320,40,320,3
0,0,0,180.0,0,120,320,40,320,3
0,0,0,180.0,0,160,320,40,320,3
0,0,0,180.0,0,200,320,40,320,3
0,0,0,180.0,0,240,320,40,320,3
0,0,0,180.0,0,280,320,40,320,3
0,1,0,99.46,0,280,360,40,320,3
0,0,0,108.43,-1,280,400,40,320,3
0,0,0,116.57,0,160,80,40,320,3
0,0,0,123.69,0,200,80,40,320,3
0,0,0,129.81,0,240,80,40,320,3
0,0,0,135.0,0,280,80,40,320,3
0,0,0,139.4,0,320,80,40,320,3
0,0,0,54.46,1,320,120,40,320,3
0,0,0,60.26,1,320,160,40,320,3
0,0,0,33.69,1,280,160,40,320,1
0,0,0,38.66,1,240,160,40,320,1
0,0,0,45.0,1,200,160,40,320,1
0,0,0,53.13,1,160,160,40,320,1
0,0,0,63.43,1,120,160,40,320,1
0,0,0,75.96,1,80,160,40,320,1
0,0,0,90.0,1,40,160,40,320,1
0,0,0,0.0,1,40,200,40,320,2
0,0,0,0.0,1,40,240,40,320,2
0,0,0,0.0,1,40,280,40,320,2
0,0,0,0.0,1,40,320,40,320,2
0,0,0,90.0,1,80,320,80,160,1
0,0,0,104.04,0,120,320,80,160,1
0,0,0,116.57,0,160,320,80,160,1
0,0,0,33.69,1,160,280,80,160,1
0,0,0,45.0,1,160,240,80,160,1
0,0,0,63.43,1,160,200,80,160,1
0,0,0,45.0,1,120,200,80,160,3
0,0,0,90.0,1,80,200,80,160,3
0,0,0,0.0,1,80,160,80,160,2
0,0,0,128.66,0,80,120,280,280,3
0,0,0,135.0,0,80,80,280,280,3
0,0,0,51.34,1,120,80,280,280,3
0,0,0,59.04,1,160,80,280,280,3
0,0,0,68.2,1,200,80,280,280,3
0,0,0,78.69,1,240,80,280,280,3
0,0,0,90.0,1,280,80,280,280,3
0,0,0,0.0,1,280,120,280,280,2
0,0,0,0.0,1,280,160,280,280,2
0,0,0,0.0,1,280,200,280,280,2
0,0,0,0.0,1,280,240,280,280,2
0,0,0,0.0,1,280,280,280,280,2
0,0,0,53.13,1,240,280,120,120,3
0,0,0,63.43,1,200,280,120,120,3
0,0,0,75.96,1,160,280,120,120,3
0,0,0,18.43,1,160,240,120,120,1
0,0,0,26.57,1,160,200,120,120,1
0,0,0,45.0,1,160,160,120,120,1
0,0,0,90.0,1,120,160,120,120,3
0,0,0,135.0,0,80,160,120,120,3
0,0,0,153.43,0,40,160,120,120,3
0,0,0,90.0,1,40,120,120,120,3
0,0,0,116.57,0,40,80,120,120,3
0,0,0,135.0,0,40,40,120,120,3
0,0,0,63.43,1,80,40,120,120,3
0,0,1,45.0,1,80,80,120,120,1
0,0,1,90.0,1,80,120,120,120,1
0,0,0,135.0,0,80,160,120,120,1
0,0,0,90.0,1,120,160,120,120,1
0,0,0,135.0,0,160,160,120,120,1
0,0,0,90.0,1,160,120,120,120,1
0,0,0,135.0,0,160,80,120,120,1
0,0,0,90.0,1,120,80,120,120,1
0,0,0,135.0,0,80,80,120,120,1
0,0,0,90.0,1,80,120,120,120,1
0,0,0,135.0,0,80,160,120,120,1
0,0,0,153.43,0,80,200,120,120,1
0,0,0,161.57,0,80,240,120,120,1
0,0,0,90.0,1,120,240,120,120,1
1,0,0,0.0,1,120,200,120,120,2
1,0,0,0.0,1,120,160,120,120,2
0,0,0,0.0,1,120,120,120,120,2
0,0,0,135.0,0,120,80,40,160,1
0,0,0,146.31,0,160,80,40,160,3
0,0,0,153.43,0,200,80,40,160,3
0,0,0,158.2,0,240,80,40,160,3
0,0,0,161.57,0,280,80,40,160,3
0,0,0,80.54,1,280,120,40,160,3
0,0,0,90.0,1,280,160,40,160,3
0,0,0,0.0,1,240,160,40,160,2
0,0,0,0.0,1,200,160,40,160,2
0,0,0,0.0,1,160,160,40,160,2
0,0,0,0.0,1,120,160,40,160,2
0,0,0,0.0,1,80,160,40,160,2
0,0,0,0.0,1,40,160,40,160,2
0,0,0,45.0,1,40,200,200,360,1
0,0,0,53.13,1,40,240,200,360,1
0,0,0,63.43,1,40,280,200,360,1
0,0,0,75.96,1,40,320,200,360,1
0,0,0,18.43,1,80,320,200,360,3
0,0,0,26.57,1,120,320,200,360,3
0,0,0,45.0,1,160,320,200,360,3
0,1,0,90.0,1,160,360,200,360,1
0,0,1,0.0,1,200,360,200,360,2
0,0,1,63.43,1,240,360,280,280,1
0,0,1,90.0,1,280,360,280,280,1
0,0,1,116.57,0,320,360,280,280,1
0,0,0,45.0,1,320,320,280,280,1
0,0,0,90.0,1,320,280,280,280,1
0,0,0,135.0,0,320,240,280,280,1
0,0,0,90.0,1,280,240,280,280,1
0,0,0,135.0,0,240,240,280,280,1
0,0,0,153.43,0,200,240,280,280,1
0,0,0,161.57,0,160,240,280,280,1
0,0,0,165.96,0,120,240,280,280,1
0,0,0,90.0,1,120,280,280,280,1
1,0,0,0.0,1,160,280,280,280,2
1,0,0,0.0,1,200,280,280,280,2
1,0,0,0.0,1,240,280,280,280,2
1,0,0,0.0,1,280,280,280,280,2
0,0,0,135.0,0,320,280,200,160,1
0,0,0,143.13,0,320,320,200,160,3
0,1,0,149.04,0,320,360,200,160,3
1,0,0,68.2,1,280,360,200,160,3
1,0,0,78.69,1,240,360,200,160,3
1,0,0,90.0,1,200,360,200,160,3
1,0,0,101.31,0,160,360,200,160,3
0,0,0,14.04,1,160,320,200,160,3
0,0,0,18.43,1,160,280,200,160,3
0,0,0,90.0,1,200,280,200,160,1
0,0,0,108.43,0,240,280,200,160,1
0,0,0,26.57,1,240,240,200,160,1
0,0,0,45.0,1,240,200,200,160,1
0,0,0,90.0,1,240,160,200,160,1
0,0,0,0.0,1,200,160,200,160,2
0,0,0,135.0,0,160,160,240,240,1
0,0,0,146.31,0,120,160,240,240,1
0,0,0,153.43,0,80,160,240,240,1
0,0,0,158.2,0,40,160,240,240,1
0,0,0,78.69,1,40,200,240,240,1
0,0,0,90.0,1,40,240,240,240,1
0,0,0,0.0,1,80,240,240,240,2
0,0,0,0.0,1,120,240,240,240,2
0,0,0,0.0,1,160,240,240,240,2
0,0,0,0.0,1,200,240,240,240,2
0,0,0,0.0,1,240,240,240,240,2
0,0,0,161.57,0,280,240,160,280,3
0,0,0,90.0,1,280,280,160,280,3
0,0,0,108.43,0,280,320,160,280,3
0,1,0,123.69,0,280,360,160,280,3
1,0,0,45.0,1,240,360,160,280,3
1,0,0,63.43,1,200,360,160,280,3
0,0,0,45.0,1,200,320,160,280,1
0,1,0,90.0,1,200,280,160,280,1
0,0,1,0.0,1,160,280,160,280,2
0,0,0,75.96,1,120,280,80,120,3
0,0,0,90.0,1,80,280,80,120,3
0,0,0,0.0,1,80,240,80,120,2
0,0,0,0.0,1,80,200,80,120,2
0,0,0,0.0,1,80,160,80,120,2
0,0,0,0.0,1,80,120,80,120,2
0,0,0,11.31,1,120,120,320,160,3
0,0,0,14.04,1,160,120,320,160,3
0,0,0,18.43,1,200,120,320,160,3
0,0,0,26.57,1,240,120,320,160,3
0,0,0,45.0,1,280,120,320,160,3
0,0,0,90.0,1,320,120,320,160,3
0,0,0,0.0,1,320,160,320,160,2
0,0,0,45.0,1,320,200,160,360,3
0,0,0,53.13,1,320,240,160,360,3
0,0,0,63.43,1,320,280,160,360,3
0,0,0,75.96,1,320,320,160,360,3
0,0,0,18.43,1,280,320,160,360,1
0,0,0,26.57,1,240,320,160,360,1
0,1,0,90.0,1,240,360,160,360,3
1,0,0,0.0,1,200,360,160,360,2
1,0,0,0.0,1,160,360,160,360,2
1,0,0,140.19,0,120,360,360,160,3
1,0,0,144.46,0,80,360,360,160,3
0,0,0,60.26,1,80,320,360,160,3
0,0,0,66.8,1,80,280,360,160,3
0,0,0,74.05,1,80,240,360,160,3
0,0,0,18.43,1,120,240,360,160,1
0,0,0,21.8,1,160,240,360,160,1
0,0,0,26.57,1,200,240,360,160,1
0,0,0,75.96,1,200,200,360,160,3
0,0,0,90.0,1,200,160,360,160,3
0,0,0,0.0,1,240,160,360,160,2
0,0,0,0.0,1,280,160,360,160,2
0,0,0,0.0,1,320,160,360,160,2
0,1,0,0.0,1,360,160,360,160,1
1,0,0,97.13,0,360,200,40,160,3
1,0,0,104.04,0,360,240,40,160,3
1,0,0,110.56,0,360,280,40,160,3
0,0,0,23.2,1,320,280,40,160,3
0,0,0,26.57,1,280,280,40,160,3
0,0,0,30.96,1,240,280,40,160,3
0,0,1,36.87,1,200,280,40,160,0
0,0,1,45.0,1,160,280,40,160,0
0,0,0,56.31,1,120,280,40,160,3
0,0,0,45.0,1,120,240,40,160,1
0,0,0,63.43,1,120,200,40,160,1
0,0,0,90.0,1,120,160,40,160,1
0,0,0,0.0,1,80,160,40,160,2
0,0,0,0.0,1,40,160,40,160,2
0,0,0,71.57,1,40,200,160,240,1
0,0,0,90.0,1,40,240,160,240,1
0,0,0,108.43,0,40,280,160,240,1
0,0,0,123.69,0,40,320,160,240,1
0,0,0,45.0,1,80,320,160,240,1
1,0,0,63.43,1,120,320,160,240,2
1,0,0,90.0,1,160,320,160,240,2
1,0,0,116.57,0,200,320,160,240,2
1,0,0,135.0,0,240,320,160,240,2
0,0,0,146.31,0,280,320,160,240,1
0,0,0,71.57,1,280,280,160,240,1
0,0,0,90.0,1,280,240,160,240,1
0,0,0,0.0,1,240,240,160,240,2
0,0,0,0.0,1,200,240,160,240,2
0,0,0,0.0,1,160,240,160,240,2
0,0,0,18.43,1,160,200,200,80,3
0,0,0,26.57,1,160,160,200,80,3
0,0,0,45.0,1,160,120,200,80,3
0,0,0,90.0,1,160,80,200,80,3
0,0,0,0.0,1,200,80,200,80,2
0,0,0,63.43,1,240,80,360,320,3
0,0,0,71.57,1,280,80,360,320,3
0,0,0,80.54,1,320,80,360,320,3
0,0,0,11.31,1,320,120,360,320,1
0,0,0,14.04,1,320,160,360,320,1
0,0,0,18.43,1,320,200,360,320,1
0,1,0,90.0,1,360,200,360,320,3
1,0,0,0.0,1,360,240,360,320,2
1,0,0,0.0,1,360,280,360,320,2
1,0,0,0.0,1,360,320,360,320,2
0,0,0,29.74,1,320,320,40,160,3
0,0,0,33.69,1,280,320,40,160,3
0,0,0,38.66,1,240,320,40,160,3
0,0,0,45.0,1,200,320,40,160,3
0,0,0,53.13,1,160,320,40,160,3
0,0,0,63.43,1,120,320,40,160,3
0,0,0,75.96,1,80,320,40,160,3
0,0,0,18.43,1,80,280,40,160,1
0,0,0,26.57,1,80,240,40,160,1
0,0,0,45.0,1,80,200,40,160,1
0,0,0,90.0,1,40,200,40,160,3
0,0,0,0.0,1,40,160,40,160,2
0,0,0,104.04,0,40,120,200,160,3
0,0,0,116.57,0,40,80,200,160,3
0,0,0,126.87,0,40,40,200,160,3
0,0,0,45.0,1,80,40,200,160,3
0,0,0,56.31,1,120,40,200,160,3
0,0,0,71.57,1,160,40,200,160,3
0,0,0,26.57,1,160,80,200,160,1
0,0,0,45.0,1,160,120,200,160,1
0,0,0,90.0,1,160,160,200,160,1
0,0,0,0.0,1,200,160,200,160,2
0,0,0,68.2,1,240,160,320,360,3
0,0,0,78.69,1,280,160,320,360,3
0,0,0,90.0,1,320,160,320,360,3
0,0,0,0.0,1,320,200,320,360,2
0,0,0,0.0,1,320,240,320,360,2
0,0,0,0.0,1,320,280,320,360,2
0,0,0,0.0,1,320,320,320,360,2
0,1,0,0.0,1,320,360,320,360,1
1,0,0,75.96,1,280,360,200,40,3
1,0,0,82.87,1,240,360,200,40,3
1,0,0,90.0,1,200,360,200,40,3
1,0,0,97.13,0,160,360,200,40,3
0,0,0,8.13,1,160,320,200,40,3
0,0,0,9.46,1,160,280,200,40,3
0,0,0,11.31,1,160,240,200,40,3
0,0,0,111.8,0,120,240,200,40,3
0,0,0,120.96,0,80,240,200,40,3
0,0,0,36.87,1,80,200,200,40,3
0,0,0,45.0,1,80,160,200,40,3
0,0,0,56.31,1,80,120,200,40,3
0,0,0,71.57,1,80,80,200,40,3
0,0,0,26.57,1,120,80,200,40,1
0,0,0,45.0,1,160,80,200,40,1
0,0,0,90.0,1,200,80,200,40,1
0,0,0,0.0,1,200,40,200,40,2
0,1,0,159.44,0,200,0,80,320,1
1,0,0,116.57,0,240,0,80,320,3
1,0,0,122.01,0,280,0,80,320,3
1,0,0,126.87,0,320,0,80,320,3
0,0,0,40.6,1,320,40,80,320,3
0,0,0,45.0,1,320,80,80,320,3
0,0,0,50.19,1,320,120,80,320,3
0,0,0,56.31,1,320,160,80,320,3
0,0,0,63.43,1,320,200,80,320,3
0,0,0,71.57,1,320,240,80,320,3
0,0,0,80.54,1,320,280,80,320,3
0,0,0,90.0,1,320,320,80,320,3
0,0,0,0.0,1,280,320,80,320,2
0,0,0,0.0,1,240,320,80,320,2
0,0,0,0.0,1,200,320,80,320,2
0,0,0,0.0,1,160,320,80,320,2
0,0,0,0.0,1,120,320,80,320,2
0,0,0,0.0,1,80,320,80,320,2
0,0,0,144.46,0,40,320,320,120,3
0,0,0,60.26,1,40,280,320,120,3
0,0,0,66.8,1,40,240,320,120,3
0,0,0,74.05,1,40,200,320,120,3
0,0,0,81.87,1,40,160,320,120,3
0,0,0,90.0,1,40,120,320,120,3
0,0,0,0.0,1,80,120,320,120,2
0,0,0,0.0,1,120,120,320,120,2
0,0,0,0.0,1,160,120,320,120,2
0,0,0,0.0,1,200,120,320,120,2
0,0,0,108.43,0,200,80,320,120,3
0,0,0,123.69,0,200,40,320,120,3
0,0,0,45.0,1,240,40,320,120,3
0,0,0,63.43,1,280,40,320,120,3
0,0,0,90.0,1,320,40,320,120,3
0,1,0,116.57,0,360,40,320,120,3
1,0,0,45.0,1,360,80,320,120,3
1,0,0,90.0,1,360,120,320,120,3
1,0,0,135.0,0,360,160,320,120,3
0,0,0,90.0,1,320,160,320,120,3
0,0,0,135.0,0,280,160,320,120,3
0,0,0,153.43,0,240,160,320,120,3
1,0,0,90.0,1,240,120,320,120,3
1,1,0,116.57,0,240,80,320,120,3
0,0,0,105.95,0,160,80,80,360,3
0,0,0,113.2,0,200,80,80,360,3
0,0,0,119.74,0,240,80,80,360,3
0,0,0,125.54,0,280,80,80,360,3
0,0,0,130.6,0,320,80,80,360,3
0,0,0,45.0,1,320,120,80,360,3
0,0,0,50.19,1,320,160,80,360,3
0,0,0,56.31,1,320,200,80,360,3
0,0,0,63.43,1,320,240,80,360,3
0,0,0,30.96,1,280,240,80,360,1
0,0,0,36.87,1,240,240,80,360,1
0,0,0,63.43,1,240,280,80,360,3
0,0,0,75.96,1,240,320,80,360,3
0,1,0,90.0,1,240,360,80,360,3
1,0,0,0.0,1,200,360,80,360,2
1,0,0,0.0,1,160,360,80,360,2
1,0,0,0.0,1,120,360,80,360,2
1,0,0,0.0,1,80,360,80,360,2
1,0,0,90.0,1,40,360,40,240,3
1,1,0,108.43,0,0,360,40,240,3
0,0,0,63.43,1,160,80,240,240,3
0,0,0,75.96,1,200,80,240,240,3
0,0,0,90.0,1,240,80,240,240,3
0,0,0,104.04,0,280,80,240,240,3
0,0,0,116.57,0,320,80,240,240,3
0,1,0,126.87,0,360,80,240,240,3
0,0,0,135.0,-1,400,80,240,240,3
0,0,0,63.43,1,160,80,240,240,3
0,0,0,75.96,1,200,80,240,240,3
0,0,0,90.0,1,240,80,240,240,3
0,0,0,104.04,0,280,80,240,240,3
0,0,0,116.57,0,320,80,240,240,3
0,1,0,126.87,0,360,80,240,240,3
0,0,0,135.0,-1,400,80,240,240,3
0,0,0,63.43,1,160,80,240,240,3
0,0,0,75.96,1,200,80,240,240,3
0,0,0,90.0,1,240,80,240,240,3
0,0,0,104.04,0,280,80,240,240,3
0,0,0,116.57,0,320,80,240,240,3
0,1,0,126.87,0,360,80,240,240,3
0,0,0,80.54,1,160,80,200,320,3
0,0,0,90.0,1,200,80,200,320,3
0,0,0,99.46,0,240,80,200,320,3
0,0,0,108.43,0,280,80,200,320,3
0,0,0,116.57,0,320,80,200,320,3
0,1,0,123.69,0,360,80,200,320,3
0,0,0,129.81,-1,400,80,200,320,3